date,btc_mcap,total_mcap,btc_dominance
2024-03-31,1370247487960.0945,2759291466930.8667,49.659396420495135
2024-04-30,1257159131219.0603,2477307756355.3643,50.746990477622504
2024-05-31,1346147846430.124,2677635519148.375,50.27375222667602
2024-06-30,1199792912680.844,2369867265843.528,50.627008945743256
2024-07-31,1306758338817.987,2484932679859.7866,52.587273265355485
2024-08-31,1168247205700.9673,2173325941374.0454,53.75388861195687
2024-09-30,1297825615076.3352,2411084769844.1504,53.82745689029528
2024-10-31,1431085552900.1965,2541578796031.82,56.30695200693986
2024-11-30,1926826079390.2441,3562646783857.3867,54.08411768802998
2024-12-31,1833188187477.531,3393595055715.5464,54.01906112486953
2025-01-31,2076760153260.6191,3708652702995.7954,55.99769834428127
2025-02-28,1679555320077.2097,2917564490547.6294,57.56703324017889
2025-03-31,1633996304187.2593,2761955521241.7407,59.16084787102708
2025-04-30,1870818389258.4038,3055787492662.651,61.222136478746826
2025-05-31,2066830946978.0637,3374422843791.5864,61.24990976696093
2025-06-30,2155183166489.813,3461179631531.975,62.26730178508225
2025-07-31,2343717963709.7124,3931253489999.2715,59.617574131810734
2025-08-31,2300222904153.9766,4003226485169.9624,57.792308181889894
