,date,hashrate
1585,2013-05-14,87.64564318172411
1586,2013-05-15,86.73025909810421
1587,2013-05-16,86.7451090243878
1588,2013-05-17,86.38639768239332
1589,2013-05-18,87.2272649291165
1590,2013-05-19,86.38343730779688
1591,2013-05-20,85.8810618843968
1592,2013-05-21,82.54433237547475
1593,2013-05-22,82.703224256852
1594,2013-05-23,84.21269712993576
1595,2013-05-24,85.48383218095366
1596,2013-05-25,85.56327812164227
1597,2013-05-26,88.72953800587403
1598,2013-05-27,90.39029871912241
1599,2013-05-28,94.27157206955175
1600,2013-05-29,96.41586953953076
1601,2013-05-30,97.72742833752864
1602,2013-05-31,99.52252389225703
1603,2013-06-01,102.70539341218523
1604,2013-06-02,104.94937679766151
1605,2013-06-03,108.66058008902614
1606,2013-06-04,111.85394106066558
1607,2013-06-05,115.99667961846795
1608,2013-06-06,123.88331782075822
1609,2013-06-07,129.02389968406624
1610,2013-06-08,130.81327256411853
1611,2013-06-09,132.34272101304796
1612,2013-06-10,133.24350425534809
1613,2013-06-11,135.1534497609618
1614,2013-06-12,136.53379666567224
1615,2013-06-13,136.31215089186438
1616,2013-06-14,137.9744941954237
1617,2013-06-15,139.19354595136727
1618,2013-06-16,140.08012904659884
1619,2013-06-17,142.296586784678
1620,2013-06-18,143.4983814914287
1621,2013-06-19,144.04477089647256
1622,2013-06-20,139.04733178634913
1623,2013-06-21,137.7097321140257
1624,2013-06-22,142.40751493314943
1625,2013-06-23,146.52466909849213
1626,2013-06-24,149.97211993255254
1627,2013-06-25,148.4614117647337
1628,2013-06-26,148.73608597706428
1629,2013-06-27,157.52566077164616
1630,2013-06-28,160.27240289495285
1631,2013-06-29,159.58571736412614
1632,2013-06-30,160.35718925022599
1633,2013-07-01,161.033849124333
1634,2013-07-02,164.57599998877868
1635,2013-07-03,168.03751387262224
1636,2013-07-04,168.59542487969742
1637,2013-07-05,171.55452864079467
1638,2013-07-06,175.29954315245422
1639,2013-07-07,179.39037086647008
1640,2013-07-08,182.8751500302614
1641,2013-07-09,187.87505056961413
1642,2013-07-10,194.54158462208426
1643,2013-07-11,193.93553607185967
1644,2013-07-12,203.8510744098401
1645,2013-07-13,207.68956816769756
1646,2013-07-14,207.26030120350342
1647,2013-07-15,209.21208398452313
